work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,covid_mean_cases
2022,SE,FT,Data Engineer,145000,US,100,US,M,158462
2022,SE,FT,Data Engineer,130000,US,100,US,M,158462
2022,SE,FT,Data Analyst,112900,US,100,US,M,158462
2022,SE,FT,Data Analyst,90320,US,100,US,M,158462
2022,MI,FT,Data Analyst,85000,CA,0,CA,M,1457
2022,MI,FT,Data Analyst,75000,CA,0,CA,M,1457
2022,SE,FT,Machine Learning Engineer,214000,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,192600,US,100,US,M,158462
2022,SE,FT,Data Architect,266400,US,100,US,M,158462
2022,SE,FT,Data Architect,213120,US,100,US,M,158462
2022,SE,FT,Data Engineer,155000,US,100,US,M,158462
2022,SE,FT,Data Engineer,115000,US,100,US,M,158462
